1709,"Literature and fiction, women authors"
1710,"Comics & graphic novels, general"
1711,Secrecy
1712,Governesses in literature
1713,Japanese fiction
1714,Gouvernantes
1715,Governesses--england--fiction
1716,Pr4167.j5 d38 2006
1717,823.8
1718,Pr4167 .j3 2000
1719,823/.8
1720,Pr4167.j5 l88 2016
1721,"Fiction, sagas"
1722,Governesses
1723,Mentally ill women
1724,Charity-schools
1725,Country homes
1726,Rape victims
1727,Feminism
1728,Sotho language
1729,English
1730,Oral reading
1731,Older people
1732,Ancianos
1733,Aged
1734,Oral reading -- Fiction
1735,Older people -- Fiction
1736,North Carolina -- Fiction
1737,"North Carolina, fiction"
1738,Kärlek
1739,-- North Carolina -- Fiction
1740,--north carolina--fiction
1741,Oral reading--fiction
1742,Older people--fiction
1743,Ps3569.p363 n68 2004
1744,813.54
1745,Zoo animals
1746,Tigers
1747,Tiger
1748,award:man_booker_prize=2002
1749,Man Booker Prize Winner
1750,Storytelling
1751,Ocean travel
1752,Ithaca College First-Year Reading Initiative
1753,Human-animal relationships
1754,Integracji i Globalizacji Centrum Badawcze Transformacji
1755,Religion
1756,Relations homme-animal
1757,Schiffbruch
1758,Human-animal relationship
1759,Überleben
1760,"Survie après accidents d'avion, naufrages"
1761,Männliche Jugend
1762,Animal Population Groups
1763,Zähmung
1764,Faszination
1765,Indischer Jugendlicher
1766,Survival at sea
1767,Shipwreck victims
1768,nyt:trade-fiction-paperback=2012-10-21
1769,Naufragés
1770,Tigres
1771,"Pacifique, Océan"
1772,Muchachos adolescentes
1773,Narración de cuentos
1774,Relatos de aventura
1775,Viajes por mar
1776,Relaciones hombre-animal
1777,"Supervivencia (después de accidentes aéreos, naufragios, etc.)"
1778,Animales zoológicos
1779,Huérfanos
1780,LITERARY CRITICISM
1781,American
1782,"Life of Pi (Martel, Yann)"
1783,"Fiction, sea stories"
1784,"India, fiction"
1785,Togers
1786,circus performers
1787,depression era
1788,elephants
1789,nyt:combined-print-and-e-book-fiction=2011-02-13
1790,Circus
1791,Depressions
1792,Novela histórica
1793,Circo
1794,Crisis económicas
1795,Artistas
1796,Training
1797,nyt:e-book_fiction=2011-03-12
1798,"Great Depression, 1929-1939"
1799,collectionID:EanesChallenge
1800,Parents
1801,Circus animals
1802,Trainagles (Interpersonal relations)
1803,Triangles (Interpersonal relations)
1804,nyt:young-adult-paperback-monthly=2022-09-04
1805,Jews
1806,"World War, 1939-1945"
1807,Rescue
1808,Novela australiana
1809,Livres et lecture
1810,Juifs
1811,"Guerre mondiale, 1939-1945"
1812,Sauvetage
1813,Libros y lectura
1814,Judios
1815,"Guerra Mundial II, 1939-1945"
1816,Book thefts
1817,Jews rescue (1939-1945 : World War) fast (OCoLC)fst01710189
1818,World War (1939-1945) fast (OCoLC)fst01180924
1819,"Death, fiction"
1820,"Germany, history, fiction"
1821,"Jews, history, fiction"
1822,"World war, 1939-1945, fiction"
1823,"Storytelling, fiction"
